Gesture_Sequence,Natural_Sentence
Please+Sorry+Hello+Stop,"Please, I'm sorry. Hello. Please stop."
Stop+Yes+ThankYou+Help,"Please stop. Yes. Much appreciated. Please assist me."
Help+Emergency+No+Wait,"I need your assistance. This is urgent! No. Please wait a moment."
Home+No+Stop+Yes,"Let's go home. No. Please stop. Yes."
Stop+Wait+Pain+No,"Please stop. Please hold on. It hurts. No."
Sorry+Goodbye+Home+Yes,"My apologies. Goodbye. Take me home. Yes."
Please+ThankYou+Sorry+No,"If you would, thank you. My apologies. No."
Please+Hungry+Hello+Help,"If you would, I need food. Hello. Please help me."
Stop+No+Pain+Yes,"Please wait right there. No. It hurts. Yes."
ThankYou+No+Help+Sorry,"Much appreciated. No. I need your assistance. My apologies."
Please+Wait+Sorry+Stop, Please give me a second. My apologies. Please stop.
Hello+Hungry+Yes+Home,"Hello. Get me something to eat. Yes, I want to go home."
Sorry+ThankYou+Pain+Wait, I'm sorry. Much appreciated. It hurts. Please hold on.
Stop+Yes+Water+Please,"Please wait right there. Yes. I need water. Please."
Emergency+Goodbye+No+Hungry,"Emergency situation! Goodbye. No. I need food."
ThankYou+Hello+Home+Emergency,"Thanks. Hello. Let's go home. Emergency situation!"
Hungry+Hello+ThankYou+Sorry,"Get me something to eat. Hello. Thank you. I'm sorry."
Please+Water+ThankYou+Pain, Please get me a drink. Thanks. I'm in pain.
Emergency+Hungry+Water+Sorry, This is urgent! I'm hungry. I'm thirsty. My apologies.
No+Hungry+Wait+Goodbye,"No. Get me something to eat. Please hold on. Goodbye."
Water+Stop+Goodbye+Yes,"I'm thirsty. Please wait right there. See you. Yes."
Sorry+Wait+Help+Emergency,"I apologize. Wait a moment. Please assist me. This is an emergency!"
Wait+Goodbye+Emergency+Yes,"Please hold on. See you. This is an emergency! Yes."
ThankYou+Hungry+Water+Help,"Much appreciated. I'm hungry. I'm thirsty. I need your assistance."
Goodbye+Help+Please+Emergency,"See you. Please assist me. Please, this is an emergency!"
Sorry+Hello+Wait+ThankYou,"My apologies. Hello. Please give me a second. Much appreciated."
Please+Goodbye+ThankYou+No,"Please. Goodbye. Thanks. No."
Home+Hello+Hungry+Emergency,"Take me home. Hello. Get me something to eat. Emergency situation!"
Water+Goodbye+Pain+No,"I need water. Goodbye. It hurts. No."
Sorry+Hungry+Stop+Hello,"I apologize. Get me something to eat. Please wait right there. Hello."
Pain+Emergency+ThankYou+Please, I'm in pain. This is an emergency! Much appreciated. Please.
Sorry+Hello+Emergency+Home,"I apologize. Hello. Emergency situation! Let's go home."
Hungry+No+Pain+Goodbye,"I need food. No. It hurts. See you."
ThankYou+Please+Sorry+No,"Thanks. Please. I'm sorry. No."
Sorry+Goodbye+Hungry+Water, I'm sorry. See you. Get me something to eat. Get me a drink.
Stop+Hungry+Pain+Wait,"Please wait right there. I need food. I am suffering. Please hold on."
Hungry+No+Home+Goodbye,"I need food. No. Take me home. Goodbye."
Yes+Emergency+No+Hello,"Yes, this is an emergency! No. Hello."
Please+Water+ThankYou+No,"Please, I need water. Much appreciated. No."
Hello+Pain+Stop+Goodbye,"Hello. It hurts. Please stop. Goodbye."
Hungry+Stop+ThankYou+Please,"I need food. Please wait right there. Much appreciated. If you would."
Home+Wait+Yes+Water,"I want to go home. Please wait a moment. Yes, I'm thirsty."
Home+Emergency+Yes+Stop,"Take me home. Emergency situation! Yes. Please stop."
Hungry+Help+Emergency+No,"Get me something to eat. I need your assistance. Emergency situation! No."
Help+Emergency+Stop+Goodbye,"Please assist me. Emergency situation! Please stop. See you."
No+Please+Hello+Hungry,"No. If you would, hello. I'm hungry."
Goodbye+Sorry+Please+Pain,  "Goodbye. I apologize. Please, I'm in pain."
Goodbye+Help+Yes+ThankYou,"Goodbye. Please assist me. Yes, thank you."
Help+Please+ThankYou+Goodbye,"Please assist me. If you would, thank you. Goodbye."
Wait+Help+Hello+Please,"Please give me a second. Please assist me. Hello. Please."
Home+Wait+Sorry+No,"Let's go home. Please wait a moment. My apologies. No."
Please+Yes+Goodbye+Home,"Please, yes. Goodbye. Take me home."
Help+No+Wait+Stop,"I need your assistance. No. Please wait a moment. Please stop."
Pain+Sorry+Home+Please,"It hurts. I'm sorry. Let's go home. Please."
Pain+Please+Home+Stop," It hurts. Please, let's go home. Please wait right there."
Home+Goodbye+No+Emergency,"Let's go home. Goodbye. No. This is urgent!"
Yes+Home+Hungry+Please,"Yes, I want to go home. I'm hungry. If you would, please."
Pain+Stop+Home+Sorry,"I am suffering. Please stop. Take me home. I apologize."
Hungry+Pain+Emergency+ThankYou,"Get me something to eat. I am suffering. Emergency situation! Thank you."
Hungry+Sorry+Yes+Goodbye,"I need food. I apologize. Yes. See you."
Wait+Goodbye+Yes+Hungry,"Please hold on. Goodbye. Yes, I need food."
Please+Help+Pain+No,"Please help me. It hurts. No."
Help+Stop+Yes+ThankYou,"Please assist me. Please stop. Yes, thank you."
Water+Home+Yes+Please,"I'm thirsty. Take me home. Yes, if you would, please."
Hungry+Water+ThankYou+Yes,"I'm hungry. I need water. Much appreciated. Yes."
Hello+Yes+Wait+Home,"Hello. Yes, give me a second. I want to go home."
Help+Home+Wait+Goodbye, Please help me. Take me home. Give me a second. Goodbye.
Help+Wait+Please+Yes,"I need your assistance. Please wait a moment. Please. Yes."
No+Water+ThankYou+Yes,"No. Get me a drink. Much appreciated. Yes."
Stop+Pain+Sorry+Wait, Please wait right there. It hurts. I apologize. Please wait a moment.
Help+Hello+Goodbye+Water,"Please assist me. Hello. Goodbye. I need water."
No+Stop+Hello+ThankYou,"No. Please stop. Hello. Thank you."
ThankYou+Goodbye+No+Emergency,"Much appreciated. Goodbye. No. Emergency situation!"
Water+Goodbye+Emergency+No,"I need water. Goodbye. This is an emergency! No."
Help+Wait+Emergency+Pain,"Please help me. Please wait a moment. Emergency situation! I am suffering."
Stop+Help+Pain+Home,"Please wait right there. I need your assistance. I'm in pain. I want to go home."
Wait+Hungry+Pain+No,"Please hold on. I need food. I'm in pain. No."
Sorry+Home+Please+Hungry,"I'm sorry. Take me home. Please, I need food."
ThankYou+Wait+Help+Please,"Thank you. Please wait a moment. Please help me. If you would, please."
Pain+Yes+Help+ThankYou,"It hurts. Yes. Please assist me. Much appreciated."
No+Hungry+Stop+Water,"No. I'm hungry. Please wait right there. I'm thirsty."
Emergency+Wait+ThankYou+Home,"This is an emergency! Please wait a moment. Much appreciated. I want to go home."
No+ThankYou+Home+Pain,"No, thanks. I want to go home. It hurts."
Hello+Hungry+Yes+No,"Hello. I need food. Yes. No."
Hello+Help+ThankYou+Stop,"Hello. Please help me. Thank you. Please wait right there."
Pain+Hungry+Yes+No,"I am suffering. Get me something to eat. Yes. No."
Help+Hungry+ThankYou+Yes,"Please help me. Get me something to eat. Thanks. Yes."
Hello+Please+No+Hungry,"Hello. If you would, please. No, I'm hungry."
No+Goodbye+Hungry+Hello,"No. Goodbye. I'm hungry. Hello."
Please+Help+Emergency+No,"Please, I need your assistance. Emergency situation! No."
Help+ThankYou+Hello+Wait,"Please assist me. Much appreciated. Hello. Please hold on."
Hungry+No+Please+Wait,"I need food. No. If you would, please wait a moment."
Please+Water+No+Stop,"Please, I need water. No. Please stop."
Sorry+Wait+Yes+Hungry,"My apologies. Give me a second. Yes, I need food."
Water+Goodbye+Stop+Emergency, Please get me a drink. Goodbye. Please wait right there. Emergency situation!
Hungry+No+Hello+Water,"Get me something to eat. No. Hello. I'm thirsty."
Emergency+Wait+Goodbye+ThankYou, This is an emergency! Please give me a second. Goodbye. Much appreciated.
Yes+Sorry+Please+Hungry,"Yes. I'm sorry. Please, I'm hungry."
Yes+Pain+Water+Goodbye,"Yes. It hurts. I need water. Goodbye."
Yes+Stop+Goodbye+Hungry,"Yes. Please wait right there. Goodbye. Get me something to eat."
Water+ThankYou+Pain+Goodbye,"I'm thirsty. Thanks. I'm in pain. See you."
Emergency+Yes+Home+Help,"This is urgent! Yes. I want to go home. Please assist me."
ThankYou+Please+Pain+Help,"Thanks. If you would, please. It hurts. I need your assistance."
No+Help+Home+Pain,"No. Please help me. I want to go home. It hurts."
Stop+Yes+Goodbye+Emergency,"Please stop. Yes. Goodbye. Emergency situation!"
ThankYou+Home+Help+Hello,"Thank you. Let's go home. I need your assistance. Hello."
No+Wait+Goodbye+Stop,"No. Give me a second. Goodbye. Please stop."
Please+No+Yes+Pain,"If you would, please. No. Yes. It hurts."
Sorry+Emergency+Hungry+No,"I'm sorry. This is an emergency! Get me something to eat. No."
No+ThankYou+Emergency+Goodbye,"No, thank you. Emergency situation! Goodbye."
Stop+No+Please+ThankYou,"Please stop. No. Please. Thank you."
Please+Hello+Emergency+Yes,"Please. Hello. This is urgent! Yes."
Please+Water+Goodbye+No,"Please. I'm thirsty. Goodbye. No."
Wait+Sorry+No+Help,"Please wait a moment. I apologize. No. I need your assistance."
Home+Yes+Hello+Help,"Take me home. Yes. Hello. I need your assistance."
Wait+Please+Stop+Water,"Please wait a moment. If you would, please wait right there. I need water."
Home+Yes+Stop+Please,"I want to go home. Yes. Please wait right there. Please."
Hello+Pain+ThankYou+Wait,"Hello. It hurts. Thanks. Please wait a moment."
Hungry+No+Yes+Goodbye,"I need food. No. Yes. Goodbye."
ThankYou+Please+Goodbye+No,"Much appreciated. Please. Goodbye. No."
Hello+Pain+Goodbye+Help,"Hello. I am suffering. Goodbye. Please assist me."
Hello+Yes+Goodbye+Hungry,"Hello. Yes. Goodbye. Get me something to eat."
Goodbye+Please+Hungry+Yes,"Goodbye. Please get me something to eat. Yes."
Stop+Yes+Emergency+Water,"Please stop. Yes. Emergency situation! I need water."
Please+Wait+Stop+Goodbye, Please hold on. Please stop. Goodbye.
Stop+Hello+Water+No,"Please wait right there. Hello. I'm thirsty. No."
Hungry+Water+Stop+Pain, I need food. Get me a drink. Please wait right there. I'm in pain.
Yes+Hungry+Stop+Goodbye,"Yes. I'm hungry. Please wait right there. Goodbye."
Goodbye+Stop+Water+Hello,"Goodbye. Please wait right there. I'm thirsty. Hello."
Pain+Wait+Goodbye+Hungry, I am suffering. Please hold on. Goodbye. I'm hungry.
ThankYou+Home+Help+Goodbye, Thank you. Take me home. I need your assistance. Goodbye.
Goodbye+No+Stop+Sorry,"Goodbye. No. Please wait right there. I'm sorry."
Goodbye+Wait+Yes+No,"Goodbye. Please wait a moment. Yes. No."
Goodbye+Yes+Hungry+Wait,"Goodbye. Yes. I need food. Please give me a second."
Goodbye+Help+Sorry+Pain, Goodbye. I need your assistance. I'm sorry. I am suffering.
Hello+Water+Goodbye+ThankYou,"Hello. I'm thirsty. Goodbye. Thank you."
Please+Sorry+Help+Hungry,"If you would, I apologize. Please help me. Get me something to eat."
Goodbye+Stop+Yes+Please,"Goodbye. Please stop. Yes. If you would, please."
Hungry+Please+Water+Goodbye,"Get me something to eat. Please, I'm thirsty. Goodbye."
Sorry+Pain+Hungry+Home,"I apologize. I am suffering. I need food. Let's go home."
Please+Sorry+Wait+Goodby    e,"Please, I'm sorry. Please hold on. Goodbye."
Sorry+Goodbye+Stop+Hungry,"I apologize. Goodbye. Please stop. I'm hungry."
Please+Yes+Stop+Sorry,"Please. Yes. Please stop. I'm sorry."
Yes+Home+Water+ThankYou,"Yes, take me home. I need water. Thank you."
Goodbye+Sorry+Hungry+No,"Goodbye. I'm sorry. Get me something to eat. No."
Please+Wait+No+Help,"Please give me a second. No. Please help me."
Wait+Sorry+ThankYou+Stop,"Please wait a moment. My apologies. Much appreciated. Please wait right there."
Water+Hungry+Please+ThankYou,"Get me a drink. Get me something to eat. If you would, please. Thanks."
Pain+Goodbye+Emergency+Home,"I'm in pain. Goodbye. Emergency situation! I want to go home."
Goodbye+Hungry+Wait+Please,"Goodbye. I'm hungry. Please give me a second. Please."
No+Stop+Hungry+Wait,"No. Please stop. Get me something to eat. Please hold on."
Help+ThankYou+Yes+Wait,"Please help me. Thank you. Yes. Please hold on."
Help+Emergency+Pain+Hungry,"I need your assistance. This is an emergency! I am suffering. Get me something to eat."
Stop+Hungry+Sorry+Pain, Please stop. I need food. My apologies. I am suffering.
Please+Stop+Home+ThankYou, Please wait right there. Take me home. Thank you.
Please+Pain+Goodbye+No,"If you would, I am suffering. Goodbye. No."
Hello+Home+Goodbye+Water,"Hello. I want to go home. Goodbye. I'm thirsty."
Help+ThankYou+Goodbye+Home, Please help me. Much appreciated. Goodbye. Let's go home.
Hello+Water+Home+Hungry,"Hello. I need water. Take me home. I'm hungry."
Yes+Wait+Stop+Pain,"Yes. Please give me a second. Please wait right there. It hurts."
Stop+ThankYou+Hungry+Yes,"Please stop. Much appreciated. Get me something to eat. Yes."
Hello+Sorry+Hungry+Goodbye,"Hello. I'm sorry. I need food. Goodbye."
Water+Wait+No+Goodbye,"Get me a drink. Please wait a moment. No. Goodbye."
Please+No+Emergency+Hello,"If you would, please. No. This is urgent! Hello."
ThankYou+Hungry+Please+Water,"Thank you. Get me something to eat. Please, I'm thirsty."
Stop+Home+Help+Sorry,"Please stop. Let's go home. I need your assistance. I'm sorry."
Help+No+Hello+Emergency,"Please help me. No. Hello. This is an emergency!"
Yes+Pain+Wait+ThankYou,"Yes. It hurts. Please wait a moment. Much appreciated."
Pain+Hungry+Please+Wait,"I'm in pain. Get me something to eat. Please hold on."
Hello+Emergency+Help+Yes,"Hello. This is urgent! Please help me. Yes."
Water+Please+Stop+Help, Please get me a drink. Please stop. Please help me.
Goodbye+Sorry+ThankYou+Hungry, Goodbye. My apologies. Thanks. I need food.
Yes+Hello+Sorry+Help,"Yes. Hello. I'm sorry. I need your assistance."
Wait+Yes+Goodbye+ThankYou,"Please give me a second. Yes. Goodbye. Thanks."
Help+Hungry+Water+Sorry, I need your assistance. Get me something to eat. I need water. My apologies.
No+Stop+Hungry+Emergency,"No. Please stop. I need food. Emergency situation!"
Hello+Hungry+Yes+Wait,"Hello. Get me something to eat. Yes. Please hold on."
Emergency+Home+Hello+Goodbye,"Emergency situation! I want to go home. Hello. Goodbye."
No+Water+Home+Stop,"No. I'm thirsty. Let's go home. Please stop."
Yes+Hungry+Help+Wait,"Yes. I'm hungry. Please assist me. Please wait a moment."
Hello+Yes+Hungry+No,"Hello. Yes, I'm hungry. No."
Stop+Wait+Emergency+Water, Please stop. Please wait a moment. This is an emergency! Get me a drink.
No+Stop+Home+Pain,"No. Please stop. Let's go home. It hurts."
Yes+Sorry+Stop+ThankYou,"Yes. My apologies. Please stop. Much appreciated."
Hello+Wait+Home+Yes,"Hello. Please wait a moment. Take me home. Yes."
Please+Pain+Wait+No,"Please, I am suffering. Please hold on. No."
Hello+Home+Please+Pain,"Hello. Take me home. If you would, please. I'm in pain."
Help+Stop+ThankYou+Please, Please help me. Please stop. Thank you. Please.
Home+Water+Wait+Stop, I want to go home. I'm thirsty. Please wait a moment. Please stop.
Pain+Hungry+Goodbye+Sorry, I'm in pain. I need food. Goodbye. My apologies.
Yes+Please+Emergency+Water,"Yes. Please, this is an emergency! I need water."
Pain+Emergency+Yes+Please,"I am suffering. This is urgent! Yes. Please."
Stop+Home+ThankYou+Goodbye, Please stop. Take me home. Thanks. Goodbye.
